code,sampling_date,sample_description,sample_description_old,planting_date,lat,long,toc,soc_stock,soc_stock_unit,depth,bd,LC1_Desc
37323104,2018-06-22,21a85066-c79a-4b6e-81c5-1aef1c2ba16c,d034214e-de34-4110-9c66-44af9a51122b,2015-06-22,50.74421891,1.634518252,52.6,50.23610129600001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37362444,2018-07-02,37aed11b-55eb-4952-8b8f-413b116521ee,e8aba11b-1c80-40f7-b7c9-9c811e01f619,2015-07-02,44.84641342,2.599921335,29.2,27.88772163200001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37362486,2018-06-05,06c8b5ca-ce15-45db-a236-e0a17494c36a,ae1f357e-537b-4e32-a7e4-a6b372a1d325,2015-06-05,45.22285691,2.549572962,101.5,67.939090366,tC/acre,0.2,0.827,Grassland without tree/shrub cover
37362504,2018-06-10,c990a774-eb44-4fed-9f66-5a21f4093688,df71c98d-8c67-4425-9d24-6e1b8eab6195,2015-06-10,45.38414923,2.527720192,45.4,43.359676784,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37362534,2018-05-23,c6b91b19-9c88-4fa0-a126-153e2df187cf,4be807d1-b70a-4a3b-819f-c66cc3816279,2015-05-23,45.65291656,2.490925814,34.1,31.5739254688,tC/acre,0.2,1.144,Grassland without tree/shrub cover
37362588,2018-10-09,802dc1f4-ef87-427a-9866-16284bfa6d4b,6e7b8905-bbe3-4808-a48e-1a1040265312,2015-10-09,46.13653347,2.423496551,21.6,22.150245398400003,tC/acre,0.2,1.267,Grassland without tree/shrub cover
37382484,2018-06-05,06c08143-af2f-4fcc-9123-d15d1a6f385e,0e27947c-49bb-4df2-9de9-f331d5ca38a0,2015-06-05,45.20672802,2.577309426,175.9,76.09598185060001,tC/acre,0.2,0.5345,Grassland without tree/shrub cover
37382614,2018-07-07,aa98e100-bf7b-4c18-924b-dc79a741da0a,35843d22-c166-4e34-9914-df4ab6a02476,2015-07-07,46.37115121,2.416326326,45.3,32.558121820800004,tC/acre,0.2,0.888,Grassland without tree/shrub cover
37382632,2018-07-10,ca25c0d2-10c9-4898-91ba-8cb1315f79f0,29fab634-9eb4-4284-b9d5-b0ef2b483f8c,2015-07-10,46.53228471,2.393319337,18.0,17.191061280000003,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37402320,2018-06-27,3b394809-7572-4b80-adce-ee019716948a,6beced7b-56f1-4fd4-812e-cf776021129f,2015-06-27,43.73768289,2.79287141,66.8,63.79793852800001,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37402630,2018-07-06,dee5c329-2ca4-4606-910a-de77eb4ee258,095e0fcd-dc74-4d94-9c9a-4b57d44475b4,2015-07-06,46.51622043,2.421812545,24.1,23.016920936000005,tC/acre,0.2,1.1800000000000002,Grassland without tree/shrub cover
37422586,2018-10-10,4412ec0f-1938-42ff-bee0-f728ecf20475,f31e38f7-6110-48a8-b4cc-388e6a1d0bfa,2015-10-10,46.1240938,2.503244494,25.6,26.687261081600003,tC/acre,0.2,1.288,Temporary grassland
